model,data_source,k,task_a,task_b,jaccard
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,ceo_lastname,employees_count_total,0.450000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,ceo_lastname,headquarters_city,0.600000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,ceo_lastname,headquarters_state,0.600000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,ceo_lastname,holder_record_amount,0.450000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,ceo_lastname,incorporation_state,0.450000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,ceo_lastname,incorporation_year,0.450000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,ceo_lastname,registrant_name,0.330000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,employees_count_total,headquarters_city,0.600000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,employees_count_total,headquarters_state,0.600000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,employees_count_total,holder_record_amount,0.330000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,employees_count_total,incorporation_state,0.450000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,employees_count_total,incorporation_year,0.600000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,employees_count_total,registrant_name,0.330000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,headquarters_city,headquarters_state,0.780000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,headquarters_city,holder_record_amount,0.450000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,headquarters_city,incorporation_state,0.780000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,headquarters_city,incorporation_year,0.780000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,headquarters_city,registrant_name,0.450000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,headquarters_state,holder_record_amount,0.450000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,headquarters_state,incorporation_state,0.600000
Mistral,transcribed_from_supplied_heatmap_rounded_2dp,8,headquarters_state,incorporation_year,0.600000
