K,model_a,model_b,n_heads_a,n_heads_b,abs_U_a,abs_U_b,intersection,head_pop_match,jaccard_obs,jaccard_rand_mean,jaccard_rand_p2.5,jaccard_rand_p97.5,jaccard_lift,jaccard_p,overlap_obs,overlap_rand_mean,overlap_rand_p2.5,overlap_rand_p97.5,overlap_lift,overlap_p
8,Llama-3.1-8B-Instruct,Mistral-7B-Instruct,1024,1024,19,18,1,True,0.027778,0.009354,0.0,0.057143,2.9695,0.289,0.055556,0.018556,0.0,0.111111,2.994,0.289
16,Llama-3.1-8B-Instruct,Mistral-7B-Instruct,1024,1024,37,33,1,True,0.014493,0.017288,0.0,0.044776,0.8383,0.692,0.030303,0.035545,0.0,0.090909,0.8525,0.692
32,Llama-3.1-8B-Instruct,Mistral-7B-Instruct,1024,1024,76,62,6,True,0.045455,0.034345,0.007299,0.069767,1.3235,0.291,0.096774,0.073435,0.016129,0.145161,1.3178,0.291
48,Llama-3.1-8B-Instruct,Mistral-7B-Instruct,1024,1024,104,90,12,True,0.065934,0.049958,0.021053,0.077928,1.3198,0.202,0.133333,0.102111,0.044444,0.155833,1.3058,0.202
64,Llama-3.1-8B-Instruct,Mistral-7B-Instruct,1024,1024,125,113,19,True,0.086758,0.061812,0.034783,0.096774,1.4036,0.087,0.168142,0.122159,0.070796,0.185841,1.3764,0.087
96,Llama-3.1-8B-Instruct,Mistral-7B-Instruct,1024,1024,176,159,32,True,0.105611,0.089378,0.063492,0.120401,1.1816,0.174,0.201258,0.172484,0.125786,0.226415,1.1668,0.174
128,Llama-3.1-8B-Instruct,Mistral-7B-Instruct,1024,1024,235,197,57,True,0.152,0.117043,0.088161,0.148936,1.2987,0.02,0.28934,0.229396,0.177665,0.284264,1.2613,0.02
8,Llama-3.1-8B-Instruct,OLMo-7B-Instruct,1024,1024,19,17,0,True,0.0,0.009189,0.0,0.058824,0.0,1.0,0.0,0.018765,0.0,0.117647,0.0,1.0
16,Llama-3.1-8B-Instruct,OLMo-7B-Instruct,1024,1024,37,32,1,True,0.014706,0.017221,0.0,0.061538,0.854,0.695,0.03125,0.036,0.0,0.125,0.8681,0.695
32,Llama-3.1-8B-Instruct,OLMo-7B-Instruct,1024,1024,76,60,2,True,0.014925,0.033802,0.007407,0.070866,0.4415,0.947,0.033333,0.073617,0.016667,0.15,0.4528,0.947
48,Llama-3.1-8B-Instruct,OLMo-7B-Instruct,1024,1024,104,80,5,True,0.027933,0.046411,0.016575,0.082353,0.6019,0.928,0.0625,0.101525,0.0375,0.175,0.6156,0.928
64,Llama-3.1-8B-Instruct,OLMo-7B-Instruct,1024,1024,125,99,11,True,0.051643,0.057513,0.027523,0.087379,0.8979,0.72,0.111111,0.122636,0.060606,0.181818,0.906,0.72
96,Llama-3.1-8B-Instruct,OLMo-7B-Instruct,1024,1024,176,140,15,True,0.049834,0.083126,0.056856,0.112676,0.5995,0.996,0.107143,0.17285,0.121429,0.228571,0.6199,0.996
128,Llama-3.1-8B-Instruct,OLMo-7B-Instruct,1024,1024,235,172,36,True,0.097035,0.107894,0.079576,0.140056,0.8994,0.771,0.209302,0.229994,0.174419,0.290698,0.91,0.771
8,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,1024,784,19,19,1,False,0.027027,0.01218,0.0,0.055556,2.219,0.371,0.052632,0.023474,0.0,0.105263,2.2422,0.371
16,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,1024,784,37,40,3,False,0.040541,0.025674,0.0,0.069444,1.579,0.3,0.081081,0.051459,0.0,0.135135,1.5756,0.3
32,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,1024,784,76,73,7,False,0.049296,0.050045,0.020548,0.087591,0.985,0.572,0.09589,0.09674,0.041096,0.164384,0.9912,0.572
48,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,1024,784,104,105,14,False,0.071795,0.0719,0.039672,0.111702,0.9985,0.552,0.134615,0.134269,0.076683,0.201923,1.0026,0.552
64,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,1024,784,125,132,22,False,0.093617,0.089034,0.057613,0.122271,1.0515,0.428,0.176,0.167608,0.112,0.224,1.0501,0.428
96,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,1024,784,176,175,44,False,0.143322,0.125584,0.093458,0.166113,1.1412,0.186,0.251429,0.223326,0.171429,0.285714,1.1258,0.186
128,Llama-3.1-8B-Instruct,Qwen2.5-7B-Instruct,1024,784,235,202,61,False,0.162234,0.162096,0.126289,0.197343,1.0009,0.537,0.30198,0.301322,0.242574,0.356559,1.0022,0.537
8,Mistral-7B-Instruct,OLMo-7B-Instruct,1024,1024,18,17,0,True,0.0,0.010361,0.0,0.060606,0.0,1.0,0.0,0.020529,0.0,0.117647,0.0,1.0
16,Mistral-7B-Instruct,OLMo-7B-Instruct,1024,1024,33,32,0,True,0.0,0.016978,0.0,0.048387,0.0,1.0,0.0,0.033406,0.0,0.09375,0.0,1.0
32,Mistral-7B-Instruct,OLMo-7B-Instruct,1024,1024,62,60,2,True,0.016667,0.030968,0.008058,0.070175,0.5382,0.89,0.033333,0.060583,0.01625,0.133333,0.5502,0.89
