method,K,accuracy,ci_lo,ci_hi,drop,drop_ci_lo,drop_ci_hi,n
QRScore-8B-LME-TRAIN,0,0.9115,0.8698,0.9479,0.0000,0.0000,0.0000,192
QRScore-8B-LME-TRAIN,8,0.6510,0.5833,0.7188,0.2604,0.1927,0.3281,192
QRScore-8B-LME-TRAIN,16,0.2500,0.1875,0.3125,0.6615,0.5885,0.7292,192
QRScore-8B-LME-TRAIN,32,0.1927,0.1354,0.2500,0.7188,0.6458,0.7865,192
QRScore-8B-NQ-TRAIN,0,0.9115,0.8698,0.9479,0.0000,0.0000,0.0000,192
QRScore-8B-NQ-TRAIN,8,0.9010,0.8594,0.9427,0.0104,-0.0208,0.0417,192
QRScore-8B-NQ-TRAIN,16,0.8594,0.8073,0.9062,0.0521,0.0104,0.0938,192
QRScore-8B-NQ-TRAIN,32,0.7708,0.7083,0.8281,0.1406,0.0833,0.2031,192
QRScore-SEC,0,0.9115,0.8698,0.9479,0.0000,0.0000,0.0000,192
QRScore-SEC,8,0.5521,0.4844,0.6198,0.3594,0.2865,0.4323,192
QRScore-SEC,16,0.3958,0.3281,0.4635,0.5156,0.4375,0.5938,192
QRScore-SEC,32,0.2969,0.2344,0.3594,0.6146,0.5417,0.6875,192
QRScore-SEC,48,0.1719,0.1198,0.2240,0.7396,0.6667,0.8073,192
QRScore-SEC,64,0.3177,0.2500,0.3854,0.5938,0.5156,0.6719,192
QRScore-SEC,96,0.1771,0.1250,0.2344,0.7344,0.6615,0.8021,192
QRScore-SEC,128,0.0625,0.0312,0.0990,0.8490,0.7917,0.9010,192
Random-seed123,0,0.9115,0.8698,0.9479,0.0000,0.0000,0.0000,192
Random-seed123,8,0.9062,0.8646,0.9427,0.0052,-0.0208,0.0312,192
Random-seed123,16,0.8802,0.8333,0.9219,0.0312,0.0052,0.0625,192
Random-seed123,32,0.8958,0.8490,0.9375,0.0156,-0.0156,0.0521,192
Random-seed123,48,0.8646,0.8125,0.9115,0.0469,0.0104,0.0885,192
Random-seed123,64,0.8177,0.7604,0.8698,0.0938,0.0521,0.1406,192
Random-seed123,96,0.8125,0.7552,0.8646,0.0990,0.0521,0.1510,192
Random-seed123,128,0.6823,0.6146,0.7448,0.2292,0.1615,0.2969,192
Random-seed42,0,0.9115,0.8698,0.9479,0.0000,0.0000,0.0000,192
Random-seed42,8,0.9010,0.8594,0.9427,0.0104,-0.0104,0.0312,192
Random-seed42,16,0.8958,0.8490,0.9375,0.0156,-0.0104,0.0417,192
Random-seed42,32,0.8802,0.8333,0.9219,0.0312,0.0000,0.0625,192
Random-seed42,48,0.8854,0.8385,0.9271,0.0260,-0.0052,0.0625,192
Random-seed42,64,0.8594,0.8073,0.9062,0.0521,0.0104,0.0990,192
Random-seed42,96,0.8438,0.7917,0.8906,0.0677,0.0208,0.1146,192
Random-seed42,128,0.7552,0.6927,0.8177,0.1562,0.0990,0.2188,192
Random-seed456,0,0.9115,0.8698,0.9479,0.0000,0.0000,0.0000,192
Random-seed456,8,0.8854,0.8385,0.9271,0.0260,0.0000,0.0521,192
Random-seed456,16,0.8698,0.8228,0.9115,0.0417,0.0104,0.0729,192
Random-seed456,32,0.8490,0.7969,0.8958,0.0625,0.0260,0.1042,192
Random-seed456,48,0.8073,0.7500,0.8594,0.1042,0.0625,0.1510,192
Random-seed456,64,0.7865,0.7292,0.8438,0.1250,0.0781,0.1771,192
Random-seed456,96,0.6094,0.5365,0.6771,0.3021,0.2344,0.3698,192
Random-seed456,128,0.4896,0.4167,0.5573,0.4219,0.3490,0.4948,192
