Method,Task,Baseline(K=0),Drop@K=8,Drop@K=16,Drop@K=32
QRScore-8B-LME-TRAIN,OVERALL,0.9115,0.2604,0.6615,0.7188
QRScore-8B-LME-TRAIN,registrant_name,1.0000,0.0833,0.2917,0.8333
QRScore-8B-LME-TRAIN,headquarters_city,0.9583,0.2917,0.7500,0.6667
QRScore-8B-LME-TRAIN,headquarters_state,0.8333,0.1250,0.4583,0.5833
QRScore-8B-LME-TRAIN,incorporation_state,1.0000,0.0000,0.5417,0.5000
QRScore-8B-LME-TRAIN,incorporation_year,0.8333,0.0833,0.7917,0.7500
QRScore-8B-LME-TRAIN,employees_count_total,0.9583,0.4167,0.9583,0.9583
QRScore-8B-LME-TRAIN,ceo_lastname,0.9167,0.7500,0.7917,0.8750
QRScore-8B-LME-TRAIN,holder_record_amount,0.7917,0.3333,0.7083,0.5833
QRScore-8B-NQ-TRAIN,OVERALL,0.9115,0.0104,0.0521,0.1406
QRScore-8B-NQ-TRAIN,registrant_name,1.0000,0.0000,0.0417,0.0417
QRScore-8B-NQ-TRAIN,headquarters_city,0.9583,0.0000,0.0000,0.1250
QRScore-8B-NQ-TRAIN,headquarters_state,0.8333,0.0000,-0.0833,-0.0833
QRScore-8B-NQ-TRAIN,incorporation_state,1.0000,0.0417,0.0000,0.0000
QRScore-8B-NQ-TRAIN,incorporation_year,0.8333,-0.0417,-0.0417,0.0000
QRScore-8B-NQ-TRAIN,employees_count_total,0.9583,0.0417,0.1667,0.5000
QRScore-8B-NQ-TRAIN,ceo_lastname,0.9167,0.0000,0.0833,0.2083
QRScore-8B-NQ-TRAIN,holder_record_amount,0.7917,0.0417,0.2500,0.3333
QRScore-SEC,OVERALL,0.9115,0.3594,0.5156,0.6146
QRScore-SEC,registrant_name,1.0000,0.0833,0.2500,0.3750
QRScore-SEC,headquarters_city,0.9583,0.3333,0.5833,0.6250
QRScore-SEC,headquarters_state,0.8333,0.0833,0.1250,0.3750
QRScore-SEC,incorporation_state,1.0000,0.2083,0.3333,0.4167
QRScore-SEC,incorporation_year,0.8333,0.2083,0.4167,0.6250
QRScore-SEC,employees_count_total,0.9583,0.7917,0.9167,0.9583
QRScore-SEC,ceo_lastname,0.9167,0.7083,0.9167,0.9167
QRScore-SEC,holder_record_amount,0.7917,0.4583,0.5833,0.6250
Random-seed123,OVERALL,0.9115,0.0052,0.0312,0.0156
Random-seed123,registrant_name,1.0000,0.0417,0.0417,0.0417
Random-seed123,headquarters_city,0.9583,0.0000,0.0417,0.0000
Random-seed123,headquarters_state,0.8333,0.0000,0.0000,0.0000
Random-seed123,incorporation_state,1.0000,0.0000,0.0417,0.0000
Random-seed123,incorporation_year,0.8333,-0.0417,0.0000,-0.0417
Random-seed123,employees_count_total,0.9583,0.0000,0.0000,0.0417
Random-seed123,ceo_lastname,0.9167,-0.0417,0.0417,-0.0417
Random-seed123,holder_record_amount,0.7917,0.0833,0.0833,0.1250
Random-seed42,OVERALL,0.9115,0.0104,0.0156,0.0312
Random-seed42,registrant_name,1.0000,0.0417,0.0000,0.0417
Random-seed42,headquarters_city,0.9583,0.0000,0.0000,0.0000
Random-seed42,headquarters_state,0.8333,-0.0417,0.0000,0.0417
Random-seed42,incorporation_state,1.0000,0.0000,0.0417,0.0000
Random-seed42,incorporation_year,0.8333,0.0000,0.0000,-0.0417
Random-seed42,employees_count_total,0.9583,0.0833,0.0833,0.0417
Random-seed42,ceo_lastname,0.9167,0.0000,0.0000,0.0417
Random-seed42,holder_record_amount,0.7917,0.0000,0.0000,0.1250
Random-seed456,OVERALL,0.9115,0.0260,0.0417,0.0625
Random-seed456,registrant_name,1.0000,0.0417,0.0000,0.0417
Random-seed456,headquarters_city,0.9583,0.0000,0.0000,0.0000
Random-seed456,headquarters_state,0.8333,0.0417,0.0417,0.0833
Random-seed456,incorporation_state,1.0000,0.0000,0.0000,0.0000
Random-seed456,incorporation_year,0.8333,0.0000,0.0833,0.0833
Random-seed456,employees_count_total,0.9583,0.0833,0.0833,0.0000
Random-seed456,ceo_lastname,0.9167,0.0000,0.0000,0.1250
Random-seed456,holder_record_amount,0.7917,0.0417,0.1250,0.1667
