Method,Task,K=0,K=8,K=16,K=32,K=48,K=64,K=96,K=128
QRScore-8B-LME-TRAIN,OVERALL,0.8281,0.8385,0.6823,0.7031,0.5104,0.5000,0.4740,0.4375
QRScore-8B-LME-TRAIN,registrant_name,0.9167,0.9167,0.8750,0.8750,0.8750,0.7917,0.8333,0.8333
QRScore-8B-LME-TRAIN,headquarters_city,1.0000,1.0000,0.7917,0.8750,0.7083,0.6250,0.6250,0.5833
QRScore-8B-LME-TRAIN,headquarters_state,0.9583,0.9167,0.8750,0.8750,0.7500,0.6667,0.5833,0.5000
QRScore-8B-LME-TRAIN,incorporation_state,0.9583,1.0000,0.7083,0.7083,0.6667,0.7083,0.5000,0.3750
QRScore-8B-LME-TRAIN,incorporation_year,0.7917,0.8333,0.7083,0.7500,0.2917,0.5417,0.4167,0.3750
QRScore-8B-LME-TRAIN,employees_count_total,0.8750,0.8750,0.7083,0.7917,0.0000,0.0833,0.2917,0.2917
QRScore-8B-LME-TRAIN,ceo_lastname,0.8750,0.7917,0.5417,0.6250,0.6250,0.5833,0.5000,0.5417
QRScore-8B-LME-TRAIN,holder_record_amount,0.2500,0.3750,0.2500,0.1250,0.1667,0.0000,0.0417,0.0000
QRScore-8B-NQ-TRAIN,OVERALL,0.8281,0.8229,0.8438,0.7135,0.6562,0.6510,0.5938,0.5573
QRScore-8B-NQ-TRAIN,registrant_name,0.9167,0.8750,0.8750,0.8750,0.8333,0.8333,0.7500,0.8333
QRScore-8B-NQ-TRAIN,headquarters_city,1.0000,1.0000,1.0000,0.9167,0.9167,0.8750,0.8750,0.5417
QRScore-8B-NQ-TRAIN,headquarters_state,0.9583,0.9583,0.9167,0.7917,0.8333,0.8333,0.6667,0.6667
QRScore-8B-NQ-TRAIN,incorporation_state,0.9583,1.0000,1.0000,0.6667,0.6667,0.6250,0.6667,0.6250
QRScore-8B-NQ-TRAIN,incorporation_year,0.7917,0.7917,0.8333,0.7083,0.5833,0.3333,0.2917,0.4167
QRScore-8B-NQ-TRAIN,employees_count_total,0.8750,0.8750,0.8750,0.8333,0.6250,0.8333,0.7500,0.7500
QRScore-8B-NQ-TRAIN,ceo_lastname,0.8750,0.9167,0.8750,0.7917,0.7917,0.7917,0.5417,0.5833
QRScore-8B-NQ-TRAIN,holder_record_amount,0.2500,0.1667,0.3750,0.1250,0.0000,0.0833,0.2083,0.0417
QRScore-SEC,OVERALL,0.8281,0.4792,0.4583,0.2396,0.2500,0.2344,0.2604,0.0625
QRScore-SEC,registrant_name,0.9167,0.8750,0.9167,0.5000,0.4167,0.4167,0.3750,0.0417
QRScore-SEC,headquarters_city,1.0000,0.8750,0.8333,0.4583,0.5417,0.5000,0.6250,0.2083
QRScore-SEC,headquarters_state,0.9583,0.7083,0.6667,0.6250,0.6667,0.6250,0.6667,0.2500
QRScore-SEC,incorporation_state,0.9583,0.5000,0.4583,0.2917,0.2917,0.2917,0.3750,0.0000
QRScore-SEC,incorporation_year,0.7917,0.2500,0.2917,0.0000,0.0417,0.0417,0.0417,0.0000
QRScore-SEC,employees_count_total,0.8750,0.0417,0.0417,0.0417,0.0000,0.0000,0.0000,0.0000
QRScore-SEC,ceo_lastname,0.8750,0.5833,0.4583,0.0000,0.0000,0.0000,0.0000,0.0000
QRScore-SEC,holder_record_amount,0.2500,0.0000,0.0000,0.0000,0.0417,0.0000,0.0000,0.0000
Transfer-ceo_lastname,OVERALL,0.8281,0.5781,0.5938,0.3958,0.2656,0.1667,0.0990,0.0365
Transfer-ceo_lastname,registrant_name,0.9167,0.8750,0.8750,0.7917,0.5417,0.2917,0.0417,0.0417
Transfer-ceo_lastname,headquarters_city,1.0000,0.8750,0.9167,0.7500,0.5417,0.3750,0.2500,0.0000
Transfer-ceo_lastname,headquarters_state,0.9583,0.8333,0.8333,0.7500,0.5417,0.5417,0.4583,0.1667
Transfer-ceo_lastname,incorporation_state,0.9583,0.5417,0.5417,0.5000,0.3750,0.1250,0.0417,0.0417
Transfer-ceo_lastname,incorporation_year,0.7917,0.5417,0.5000,0.1667,0.0000,0.0000,0.0000,0.0000
Transfer-ceo_lastname,employees_count_total,0.8750,0.3333,0.5000,0.0000,0.1250,0.0000,0.0000,0.0000
Transfer-ceo_lastname,ceo_lastname,0.8750,0.6250,0.5833,0.2083,0.0000,0.0000,0.0000,0.0000
Transfer-ceo_lastname,holder_record_amount,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0417
Transfer-employees_count_total,OVERALL,0.8281,0.5000,0.4896,0.2969,0.2865,0.2917,0.2031,0.1042
Transfer-employees_count_total,registrant_name,0.9167,0.9167,0.9583,0.8750,0.6250,0.7083,0.2083,0.1667
Transfer-employees_count_total,headquarters_city,1.0000,0.8750,0.8750,0.5833,0.6667,0.6250,0.5000,0.0417
Transfer-employees_count_total,headquarters_state,0.9583,0.7917,0.7500,0.5417,0.6250,0.6250,0.6667,0.5000
Transfer-employees_count_total,incorporation_state,0.9583,0.4583,0.5000,0.2500,0.2917,0.2917,0.2083,0.1250
Transfer-employees_count_total,incorporation_year,0.7917,0.2500,0.2500,0.0417,0.0000,0.0417,0.0417,0.0000
Transfer-employees_count_total,employees_count_total,0.8750,0.0417,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000
Transfer-employees_count_total,ceo_lastname,0.8750,0.6667,0.5417,0.0833,0.0417,0.0417,0.0000,0.0000
Transfer-employees_count_total,holder_record_amount,0.2500,0.0000,0.0000,0.0000,0.0417,0.0000,0.0000,0.0000
Transfer-headquarters_city,OVERALL,0.8281,0.4792,0.4062,0.2031,0.2500,0.2656,0.2292,0.0833
Transfer-headquarters_city,registrant_name,0.9167,0.8750,0.8750,0.2500,0.4583,0.3333,0.0833,0.1667
Transfer-headquarters_city,headquarters_city,1.0000,0.8750,0.8750,0.5417,0.5000,0.5833,0.6250,0.1667
Transfer-headquarters_city,headquarters_state,0.9583,0.7083,0.6250,0.5417,0.7083,0.7500,0.7500,0.2500
Transfer-headquarters_city,incorporation_state,0.9583,0.5000,0.4167,0.2917,0.3333,0.3333,0.2917,0.0417
Transfer-headquarters_city,incorporation_year,0.7917,0.2500,0.1250,0.0000,0.0000,0.1250,0.0417,0.0000
Transfer-headquarters_city,employees_count_total,0.8750,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Transfer-headquarters_city,ceo_lastname,0.8750,0.5833,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000
Transfer-headquarters_city,holder_record_amount,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0417,0.0417
Transfer-headquarters_state,OVERALL,0.8281,0.5104,0.4531,0.2031,0.2135,0.2396,0.2240,0.0938
Transfer-headquarters_state,registrant_name,0.9167,0.8750,0.9167,0.2500,0.3333,0.3333,0.1250,0.1250
Transfer-headquarters_state,headquarters_city,1.0000,0.8750,0.8333,0.5417,0.5417,0.5000,0.5000,0.2083
Transfer-headquarters_state,headquarters_state,0.9583,0.8333,0.7917,0.5417,0.6250,0.7500,0.7083,0.2500
Transfer-headquarters_state,incorporation_state,0.9583,0.5417,0.5000,0.2917,0.2083,0.2917,0.3333,0.0833
Transfer-headquarters_state,incorporation_year,0.7917,0.2500,0.2083,0.0000,0.0000,0.0417,0.0833,0.0000
Transfer-headquarters_state,employees_count_total,0.8750,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Transfer-headquarters_state,ceo_lastname,0.8750,0.6667,0.3750,0.0000,0.0000,0.0000,0.0000,0.0000
Transfer-headquarters_state,holder_record_amount,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0417,0.0833
Transfer-holder_record_amount,OVERALL,0.8281,0.7188,0.6562,0.3542,0.2240,0.1875,0.1198,0.0469
Transfer-holder_record_amount,registrant_name,0.9167,0.8750,0.8750,0.8333,0.3333,0.2500,0.1250,0.0833
