Method,Task,Baseline(K=0),Drop@K=8,Drop@K=16,Drop@K=32,Drop@K=48,Drop@K=64,Drop@K=96,Drop@K=128
QRScore-8B-LME-TRAIN,OVERALL,0.8281,-0.0104,0.1458,0.1250,0.3177,0.3281,0.3542,0.3906
QRScore-8B-LME-TRAIN,registrant_name,0.9167,0.0000,0.0417,0.0417,0.0417,0.1250,0.0833,0.0833
QRScore-8B-LME-TRAIN,headquarters_city,1.0000,0.0000,0.2083,0.1250,0.2917,0.3750,0.3750,0.4167
QRScore-8B-LME-TRAIN,headquarters_state,0.9583,0.0417,0.0833,0.0833,0.2083,0.2917,0.3750,0.4583
QRScore-8B-LME-TRAIN,incorporation_state,0.9583,-0.0417,0.2500,0.2500,0.2917,0.2500,0.4583,0.5833
QRScore-8B-LME-TRAIN,incorporation_year,0.7917,-0.0417,0.0833,0.0417,0.5000,0.2500,0.3750,0.4167
QRScore-8B-LME-TRAIN,employees_count_total,0.8750,0.0000,0.1667,0.0833,0.8750,0.7917,0.5833,0.5833
QRScore-8B-LME-TRAIN,ceo_lastname,0.8750,0.0833,0.3333,0.2500,0.2500,0.2917,0.3750,0.3333
QRScore-8B-LME-TRAIN,holder_record_amount,0.2500,-0.1250,0.0000,0.1250,0.0833,0.2500,0.2083,0.2500
QRScore-8B-NQ-TRAIN,OVERALL,0.8281,0.0052,-0.0156,0.1146,0.1719,0.1771,0.2344,0.2708
QRScore-8B-NQ-TRAIN,registrant_name,0.9167,0.0417,0.0417,0.0417,0.0833,0.0833,0.1667,0.0833
QRScore-8B-NQ-TRAIN,headquarters_city,1.0000,0.0000,0.0000,0.0833,0.0833,0.1250,0.1250,0.4583
QRScore-8B-NQ-TRAIN,headquarters_state,0.9583,0.0000,0.0417,0.1667,0.1250,0.1250,0.2917,0.2917
QRScore-8B-NQ-TRAIN,incorporation_state,0.9583,-0.0417,-0.0417,0.2917,0.2917,0.3333,0.2917,0.3333
QRScore-8B-NQ-TRAIN,incorporation_year,0.7917,0.0000,-0.0417,0.0833,0.2083,0.4583,0.5000,0.3750
QRScore-8B-NQ-TRAIN,employees_count_total,0.8750,0.0000,0.0000,0.0417,0.2500,0.0417,0.1250,0.1250
QRScore-8B-NQ-TRAIN,ceo_lastname,0.8750,-0.0417,0.0000,0.0833,0.0833,0.0833,0.3333,0.2917
QRScore-8B-NQ-TRAIN,holder_record_amount,0.2500,0.0833,-0.1250,0.1250,0.2500,0.1667,0.0417,0.2083
QRScore-SEC,OVERALL,0.8281,0.3490,0.3698,0.5885,0.5781,0.5938,0.5677,0.7656
QRScore-SEC,registrant_name,0.9167,0.0417,0.0000,0.4167,0.5000,0.5000,0.5417,0.8750
QRScore-SEC,headquarters_city,1.0000,0.1250,0.1667,0.5417,0.4583,0.5000,0.3750,0.7917
QRScore-SEC,headquarters_state,0.9583,0.2500,0.2917,0.3333,0.2917,0.3333,0.2917,0.7083
QRScore-SEC,incorporation_state,0.9583,0.4583,0.5000,0.6667,0.6667,0.6667,0.5833,0.9583
QRScore-SEC,incorporation_year,0.7917,0.5417,0.5000,0.7917,0.7500,0.7500,0.7500,0.7917
QRScore-SEC,employees_count_total,0.8750,0.8333,0.8333,0.8333,0.8750,0.8750,0.8750,0.8750
QRScore-SEC,ceo_lastname,0.8750,0.2917,0.4167,0.8750,0.8750,0.8750,0.8750,0.8750
QRScore-SEC,holder_record_amount,0.2500,0.2500,0.2500,0.2500,0.2083,0.2500,0.2500,0.2500
Transfer-ceo_lastname,OVERALL,0.8281,0.2500,0.2344,0.4323,0.5625,0.6615,0.7292,0.7917
Transfer-ceo_lastname,registrant_name,0.9167,0.0417,0.0417,0.1250,0.3750,0.6250,0.8750,0.8750
Transfer-ceo_lastname,headquarters_city,1.0000,0.1250,0.0833,0.2500,0.4583,0.6250,0.7500,1.0000
Transfer-ceo_lastname,headquarters_state,0.9583,0.1250,0.1250,0.2083,0.4167,0.4167,0.5000,0.7917
Transfer-ceo_lastname,incorporation_state,0.9583,0.4167,0.4167,0.4583,0.5833,0.8333,0.9167,0.9167
Transfer-ceo_lastname,incorporation_year,0.7917,0.2500,0.2917,0.6250,0.7917,0.7917,0.7917,0.7917
Transfer-ceo_lastname,employees_count_total,0.8750,0.5417,0.3750,0.8750,0.7500,0.8750,0.8750,0.8750
Transfer-ceo_lastname,ceo_lastname,0.8750,0.2500,0.2917,0.6667,0.8750,0.8750,0.8750,0.8750
Transfer-ceo_lastname,holder_record_amount,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2083
Transfer-employees_count_total,OVERALL,0.8281,0.3281,0.3385,0.5312,0.5417,0.5365,0.6250,0.7240
Transfer-employees_count_total,registrant_name,0.9167,0.0000,-0.0417,0.0417,0.2917,0.2083,0.7083,0.7500
Transfer-employees_count_total,headquarters_city,1.0000,0.1250,0.1250,0.4167,0.3333,0.3750,0.5000,0.9583
Transfer-employees_count_total,headquarters_state,0.9583,0.1667,0.2083,0.4167,0.3333,0.3333,0.2917,0.4583
Transfer-employees_count_total,incorporation_state,0.9583,0.5000,0.4583,0.7083,0.6667,0.6667,0.7500,0.8333
Transfer-employees_count_total,incorporation_year,0.7917,0.5417,0.5417,0.7500,0.7917,0.7500,0.7500,0.7917
Transfer-employees_count_total,employees_count_total,0.8750,0.8333,0.8333,0.8750,0.8750,0.8750,0.8750,0.8750
Transfer-employees_count_total,ceo_lastname,0.8750,0.2083,0.3333,0.7917,0.8333,0.8333,0.8750,0.8750
Transfer-employees_count_total,holder_record_amount,0.2500,0.2500,0.2500,0.2500,0.2083,0.2500,0.2500,0.2500
Transfer-headquarters_city,OVERALL,0.8281,0.3490,0.4219,0.6250,0.5781,0.5625,0.5990,0.7448
Transfer-headquarters_city,registrant_name,0.9167,0.0417,0.0417,0.6667,0.4583,0.5833,0.8333,0.7500
Transfer-headquarters_city,headquarters_city,1.0000,0.1250,0.1250,0.4583,0.5000,0.4167,0.3750,0.8333
Transfer-headquarters_city,headquarters_state,0.9583,0.2500,0.3333,0.4167,0.2500,0.2083,0.2083,0.7083
Transfer-headquarters_city,incorporation_state,0.9583,0.4583,0.5417,0.6667,0.6250,0.6250,0.6667,0.9167
Transfer-headquarters_city,incorporation_year,0.7917,0.5417,0.6667,0.7917,0.7917,0.6667,0.7500,0.7917
Transfer-headquarters_city,employees_count_total,0.8750,0.8333,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750
Transfer-headquarters_city,ceo_lastname,0.8750,0.2917,0.5417,0.8750,0.8750,0.8750,0.8750,0.8750
Transfer-headquarters_city,holder_record_amount,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2083,0.2083
Transfer-headquarters_state,OVERALL,0.8281,0.3177,0.3750,0.6250,0.6146,0.5885,0.6042,0.7344
Transfer-headquarters_state,registrant_name,0.9167,0.0417,0.0000,0.6667,0.5833,0.5833,0.7917,0.7917
Transfer-headquarters_state,headquarters_city,1.0000,0.1250,0.1667,0.4583,0.4583,0.5000,0.5000,0.7917
Transfer-headquarters_state,headquarters_state,0.9583,0.1250,0.1667,0.4167,0.3333,0.2083,0.2500,0.7083
Transfer-headquarters_state,incorporation_state,0.9583,0.4167,0.4583,0.6667,0.7500,0.6667,0.6250,0.8750
Transfer-headquarters_state,incorporation_year,0.7917,0.5417,0.5833,0.7917,0.7917,0.7500,0.7083,0.7917
Transfer-headquarters_state,employees_count_total,0.8750,0.8333,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750
Transfer-headquarters_state,ceo_lastname,0.8750,0.2083,0.5000,0.8750,0.8750,0.8750,0.8750,0.8750
Transfer-headquarters_state,holder_record_amount,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2083,0.1667
Transfer-holder_record_amount,OVERALL,0.8281,0.1094,0.1719,0.4740,0.6042,0.6406,0.7083,0.7812
Transfer-holder_record_amount,registrant_name,0.9167,0.0417,0.0417,0.0833,0.5833,0.6667,0.7917,0.8333
Transfer-holder_record_amount,headquarters_city,1.0000,0.0417,0.0833,0.5417,0.6667,0.5833,0.8750,1.0000
Transfer-holder_record_amount,headquarters_state,0.9583,0.0000,0.0417,0.3333,0.3333,0.4167,0.4167,0.7083
Transfer-holder_record_amount,incorporation_state,0.9583,0.2500,0.2917,0.5417,0.5417,0.7083,0.7917,0.9167
Transfer-holder_record_amount,incorporation_year,0.7917,0.0417,0.2083,0.5833,0.7083,0.7500,0.7917,0.7917
Transfer-holder_record_amount,employees_count_total,0.8750,0.0833,0.2500,0.7500,0.8750,0.8750,0.8750,0.8750
Transfer-holder_record_amount,ceo_lastname,0.8750,0.2083,0.2083,0.7083,0.8750,0.8750,0.8750,0.8750
Transfer-holder_record_amount,holder_record_amount,0.2500,0.2083,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500
Transfer-incorporation_state,OVERALL,0.8281,0.2656,0.3542,0.5677,0.6302,0.6198,0.5938,0.7656
Transfer-incorporation_state,registrant_name,0.9167,0.0417,-0.0417,0.2917,0.7083,0.5417,0.5417,0.6667
Transfer-incorporation_state,headquarters_city,1.0000,0.1250,0.0833,0.5000,0.4583,0.5833,0.3750,0.9583
Transfer-incorporation_state,headquarters_state,0.9583,0.1667,0.2917,0.3750,0.3750,0.3750,0.3333,0.8333
Transfer-incorporation_state,incorporation_state,0.9583,0.3333,0.5000,0.6667,0.7083,0.7083,0.7500,0.8750
Transfer-incorporation_state,incorporation_year,0.7917,0.3333,0.5417,0.7500,0.7917,0.7500,0.7500,0.7917
Transfer-incorporation_state,employees_count_total,0.8750,0.6667,0.8333,0.8333,0.8750,0.8750,0.8750,0.8750
Transfer-incorporation_state,ceo_lastname,0.8750,0.2083,0.3750,0.8750,0.8750,0.8750,0.8750,0.8750
Transfer-incorporation_state,holder_record_amount,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500
Transfer-incorporation_year,OVERALL,0.8281,0.2812,0.3802,0.5729,0.5990,0.6146,0.7448,0.7552
Transfer-incorporation_year,registrant_name,0.9167,0.0000,0.0000,0.3750,0.6250,0.5000,0.7917,0.7917
Transfer-incorporation_year,headquarters_city,1.0000,0.1250,0.1667,0.4167,0.3333,0.5417,0.9167,1.0000
Transfer-incorporation_year,headquarters_state,0.9583,0.2083,0.2500,0.3333,0.3750,0.3750,0.6250,0.7917
Transfer-incorporation_year,incorporation_state,0.9583,0.3750,0.5000,0.6667,0.6667,0.7083,0.8333,0.6667
Transfer-incorporation_year,incorporation_year,0.7917,0.3750,0.6250,0.7917,0.7917,0.7917,0.7917,0.7917
Transfer-incorporation_year,employees_count_total,0.8750,0.7500,0.8750,0.8750,0.8750,0.8750,0.8750,0.8750
Transfer-incorporation_year,ceo_lastname,0.8750,0.1667,0.3750,0.8750,0.8750,0.8750,0.8750,0.8750
Transfer-incorporation_year,holder_record_amount,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500
Transfer-registrant_name,OVERALL,0.8281,0.2552,0.4167,0.5469,0.5365,0.4688,0.5833,0.5885
Transfer-registrant_name,registrant_name,0.9167,0.0833,0.2500,0.3333,0.5000,0.5833,0.7083,0.6667
Transfer-registrant_name,headquarters_city,1.0000,0.1250,0.2083,0.5000,0.3750,0.2500,0.4167,0.2917
Transfer-registrant_name,headquarters_state,0.9583,0.1250,0.1667,0.3333,0.2917,0.1250,0.2500,0.2500
Transfer-registrant_name,incorporation_state,0.9583,0.4167,0.5000,0.6250,0.5833,0.5417,0.5833,0.7083
Transfer-registrant_name,incorporation_year,0.7917,0.2917,0.5833,0.6667,0.6250,0.5833,0.7083,0.7917
Transfer-registrant_name,employees_count_total,0.8750,0.5417,0.8333,0.8333,0.7917,0.8333,0.8750,0.8750
Transfer-registrant_name,ceo_lastname,0.8750,0.2083,0.5417,0.8333,0.8750,0.5833,0.8750,0.8750
Transfer-registrant_name,holder_record_amount,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500,0.2500
