Method,Task,K=0,K=8,K=16,K=32,K=48,K=64,K=96,K=128
QRScore-8B-LME-TRAIN,OVERALL,0.8921,0.8838,0.8672,0.8589,0.7759,0.7635,0.5436,0.1867
QRScore-8B-LME-TRAIN,registrant_name,0.9756,0.9756,0.9512,0.9268,0.8293,0.7805,0.6585,0.2439
QRScore-8B-LME-TRAIN,headquarters_city,0.9286,0.9286,0.9286,0.8929,0.7857,0.7857,0.6071,0.2500
QRScore-8B-LME-TRAIN,headquarters_state,0.8519,0.8148,0.8148,0.8889,0.8519,0.7778,0.4444,0.0741
QRScore-8B-LME-TRAIN,incorporation_state,0.9688,0.9375,0.9062,0.9062,0.8438,0.9062,0.5000,0.0625
QRScore-8B-LME-TRAIN,incorporation_year,0.8667,0.8667,0.8333,0.8667,0.8000,0.7667,0.3333,0.1333
QRScore-8B-LME-TRAIN,employees_count_total,0.9583,0.9583,0.9583,0.9167,0.8333,0.7500,0.5417,0.2083
QRScore-8B-LME-TRAIN,ceo_lastname,0.9429,0.9429,0.9143,0.8857,0.8000,0.7429,0.6857,0.3429
QRScore-8B-LME-TRAIN,holder_record_amount,0.5417,0.5417,0.5417,0.5000,0.3750,0.5417,0.5000,0.1250
QRScore-SEC,OVERALL,0.8921,0.6017,0.3402,0.1867,0.0830,0.0954,0.0664,0.0083
QRScore-SEC,registrant_name,0.9756,0.8537,0.8780,0.7561,0.4146,0.2927,0.1220,0.0000
QRScore-SEC,headquarters_city,0.9286,0.7143,0.2500,0.0714,0.0000,0.0357,0.0357,0.0000
QRScore-SEC,headquarters_state,0.8519,0.7407,0.5185,0.1481,0.0000,0.1111,0.0370,0.0370
QRScore-SEC,incorporation_state,0.9688,0.6562,0.2812,0.0312,0.0000,0.0938,0.1562,0.0000
QRScore-SEC,incorporation_year,0.8667,0.5000,0.0333,0.0333,0.0000,0.0000,0.0000,0.0000
QRScore-SEC,employees_count_total,0.9583,0.0833,0.0417,0.0417,0.0417,0.0417,0.0000,0.0417
QRScore-SEC,ceo_lastname,0.9429,0.8857,0.4000,0.1429,0.0571,0.0857,0.1143,0.0000
QRScore-SEC,holder_record_amount,0.5417,0.0417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
